,Text,Class
6348,counting alternative medicine like chlorine dioxide hydroxychloroquine instead vaccine,fake
4119,consuming colloidal silver prevent treat novel coronavirus,fake
4877,confirms covid airborne remains hour,fake
6364,video muslim leader accidentally shot dead celebratory firing recovered covid pakistan,fake
4950,former french health minister prevented chloroquine heal dying people covid harm infectologist didier raoult,fake
2090,george laraque hospitalized covid worst thing ever twitter mpljbvkix,true
1732,afwafactcheck photo woman going viral social medium claim megha vyas pune died covid truth behind viral claim twitter ssga haqz,true
6576,largest hole ozone layer arctic region healed covid lockdown,fake
2196,white house invited eight world veteran older part group risk contract covid commemoration event friday washington,true
729,preliminary study find lockdown slowing spread covid twitter zeldkka,true
871,health care worker little offer covid patient soldier,true
834,coronavirus india amid covid worry government step homemade mask ndtvnewsbeeps twitter xzrqsixftx,true
6390,image market practising social distance claimed city aizwal india,fake
3177,tamil nadu delhi gujarat handling covid crisis indiatodaymagazine click read,true
5226,vaccine coronavirus ready president donald trump announced roche medical company launch,fake
2600,fact anti malaria drug president trump promoted covid scant evidence efficacy despite warning cause heart problem coronavirus patient,true
5029,image police punishing people indian state assam violating curfew,fake
1750,rail passenger service suspended covid induced lockdown judge embarked road journey covering covid kolkata,true
6238,news photo stay home protest doctored confederate flag,fake
4253,consuming onion salt followed glass water cure coronavirus,fake
3527,victoria extend state emergency four week spike covid case,true
2827,britain provide anti viral drug remdesivir certain covid patient likely benefit part collaboration manufacturer gilead science health ministry said,true
784,coronavirus live news open temporary covid hospital wuhan warned vigilant,true
4371,military street philadelphia preparing invoke martial bring citizen fema camp,fake
1454,spread awareness severity coronavirus pandemic police installs covid themed effigy nagpur maharashtra twitter iizh,true
3426,information group higher risk serious outcome covid stay safe healthy possible knowing able take step often depends individual community circumstance learn,true
513,year woman serf lunch near corporate office mumbai prabhadevi tested positive covid tuesday mustafashk mumbai coronavirusindia,true
664,bobde make clear court want create state confusion passing direction point time government covid dayslockdown,true
6164,coronavirus poultry product confirmed bihar health department,fake
6617,muslim madhya pradesh india attacked worker violating lockdown,fake
1167,covid case madhya pradesh soared sunday death reported bhopal indore taking toll owing disease state state health bulletin bhopal district administration madhyapradesh covid,true
2617,covid situation mumbai newyork,true
2043,assam government announced relaxation covid lockdown slew activity monday assam covid,true
1600,half health worker suffering stress covid,true
3469,credit suisse favourably placed handle covid impact twitter dlco,true
5750,poem writen xixth century prove history pandemia repeat among century,fake
5173,video claim canadian prime minister justin trudeau wife sophie goire trudeau infected coronavirus,fake
7546,newspaper article stating italian newspaper fatto quotidiano illicitly benefited public funding linked covid,fake
4606,helicopter going spread medicine againts coronavirus,fake
2901,child perplexing syndrome linked covid experiencing deadly cytokine storm,true
2243,inspiring story vinay bublani deputy commissioner shaheed bhagat singh nagar district heart punjab doaba belt nris across world tackled spread covid among returnees indiatodaymagazine,true
3069,author retract medical study showing hydroxychloroquine dangerous hospitalized covid patient,true
4706,covid epidemic rink turned morgue mulhouse france,fake
3014,coronaviruscrisis patient shifted covid hospital jhinjhana town uttarpradesh,true
3735,case study covid survivor recall real nightmare,true
3001,person completed quarantine period tested negative cannot detained centre wish would violation personal liberty constitution allahabad said covid,true
925,british prime minister boris johnson sick covid moved intensive care condition worsens,true
6991,video show superintendent police announcing extension lokckdown maharashtra india till,fake
2987,india progressed covid testing till june also check number people found positive total test done coronaviruspandemic twitter oqwvkjw,true
3095,covid case rise nation easing lockdown twitter jzjt vuafr,true
5182,claim saint corona always patron saint epidemic,fake
311,ghaziabad patient tested negative novel coronavirus covid coronavirus covid india kumarkunalmedia,true
6671,white house selling coin commemorating covid pandemic,fake
4523,sanitary technician going inspect house seize cash,fake
2539,moderna experimental covid vaccine show promise early stage study twitter bcencdm,true
5154,take clothes shoe outside wash disinfectant virus stick floor nine hour also spread wind,fake
2065,tuesday mail urgent probe obesity link covid death alliehbnews bbcpapers tomorrowspaperstoday twitter galhcstjb,true
1242,united kingdom hospital covid death toll rise twitter bvln,true
1297,lockdown lifted week stage stem covid spread twitter xhilw,true
4181,italian ministry interior ruled public statement police check people exit house,fake
3869,latest research chinese scientist said coronavirus render male patient infertile,fake
4463,dallas student celebrating spring break collapse coronavirus,fake
1342,according pakistan budget deficit covid situation projected increase,true
1988,banerjee sharp comment came governor shot letter chief minister last week amid clash bhavan nabanna wake state response covid outbreak coronavirusoutbreak,true
4994,hospital madrid removing artificial respirator admitted coronaviruses older year younger patient,fake
5181,according university turin taking vitamin reduce risk infection coronavirus,fake
5888,muslim woman misbehaving doctor india,fake
4754,fish tank additive treat coronavirus,fake
5965,video british prime minister shopping arab store struck covid,fake
3397,coronavirus latest death confirmed covid case,true
4029,journalist claim coronavirus patient murdered,fake
7130,muslim violating ongoing lockdown norm prohibits religious gathering,fake
7464,picture taken colombia show girl fainted caption claim vaccine covid starting distributed poorer country girl fainted injection,fake
4358,simpson already predicted coronavirus pandemic,fake
5020,people older given medical help italy anymore,fake
2989,easyjet carnival ftse adieu covid twitter xkhihect,true
6455,still death year covid,fake
4016,post died coronavirus united state,fake
3906,coronavirus case uttar pradesh district india,fake
2037,france covid tracing expected enter testing week twitter wotdmtox,true
2943,easing covid shielding england risk second wave,true
99,holi festival colour coronavirus covid people scared celebrate festival,true
2973,data come covid covid hospitalization surveillance network acute care hospital state reported data american indian alaskan native limited rate impacted recent covid outbreak among american indian tribe twitter,true
234,people tested positive covid india recovered follow detailed guide latest update daily trend coronavirusoutbreak coronavirusinindia mukeshrawat,true
7329,video claiming immuni contact tracing application sponsored italian government already operative installed activated people smartphones automatically,fake
958,coronavirus initial recent surge number confirmed covid case japan suggests strategy paid,true
7302,japanese nobel laureate tasuku honjo said coronavirus engineered chinese laboratory,fake
1759,poor household received pulse promised april centre covid welfare package according analysis government agency data,true
634,papua guinea prepared nurse strike covid readiness,true
6155,study prof coronavirus human creation french nobel prize winner,fake
863,despatch tokyo long covid social distancing washing hand mask wearing common japan,true
4904,photo shared multiple post facebook twitter alongside claim show body people died italy became infected novel coronavirus covid,fake
2019,similar decision already announced covid green orange zone shop zone scheduled open monday maharashtra coronavirusoutbreak,true
2831,larry kramer writing play covid died people live three plague said march play like legacy remained work progress,true
1326,half covid testing capacity used figure show,true
6708,congress shashi tharoor praised government kerala india covid relief work,fake
6656,market mizoram state india practising social distancing amidst ongoing lockdown,fake
6231,image muslim rizwan died beaten tanda police violating lockdown restriction mandated covid spread,fake
1854,opinion beware study claiming covid death rate smaller expected,true
5014,post shared thousand time facebook claim provide emergency food stamp hotline,fake
3121,perspective want join outcry racism doctor writes lessen risk covid,true
1221,eamonn holmes responds complaint handling covid claim,true
4900,photo prime minister italy expressing helplessness save coronavirus patient italy,fake
7082,video fight terrace establishment shared comment crowded terrace yesterday today come fight chair welcome spain welcome phase terrace fight chair,fake
1051,disney netflix rival double subscription covid lockdown,true
2878,business confidence post covid reform indian economy contracting much hear niti aayog amitabhk response sardesairajdeep full video exclusive interview twitter szxlgiddrm,true
3376,time odisha witnessing sharp increase covid case police force managing state largest urban agglomeration bhubaneswar cuttack relatively untouched coronavirus reported case,true
5077,take seriously card efficacy chloroquine,fake
4924,coronavirus dangerous illustrative example diamond princess statistic,fake
4600,france suspended payment rent citizen coronavirus crisis,fake
3371,fund human trial potential covid vaccine imperial twitter txfhz dyxf,true
4798,coronavirus case linked rollout,fake
4052,first infected coronavirus,fake
7559,video president catholic university murcia ucam luis mendoza falsely assures coronavirus predicted london olympics,fake
4278,drinking alcohol smoking help preventing coronavirus infecting organism,fake
6994,official document approved italian health ministry autopsy covid deceased patient,fake
7408,study bartomeu payeras cifre show direct correlation network covid outbreak demonstrates clearly likely probability covid hypoxic injury hospital admission directly related electromagnetic radiation exposure network,fake
5261,inhalation steam water kill covid,fake
3276,opinion inequality existed york long pandemic came town writes mona chalabi rather erasing difference covid shown intricately linked,true
1817,third policeman mumbai posted head constable mumbai traffic police succumbed covid pandemic monday report notmengele mumbai covid,true
4184,fake coronavirus pandemic cover disease,fake
5022,american self administered chloroquine,fake
7422,covid pandemic caused death world population,fake
1921,breakingviews guest view climate change next covid twitter,true
2450,rushed premature parent reveal fear school reopening amid covid crisis,true
1534,medium person mostly electronic medium tested covid gurugram administration tuesday test conducted rapid test sample tested negative berwaltweets,true
4265,viral audio whatsapp doctor hospital fundaci madrid claim young patient condition coronavirus respirator intensive care unit,fake
5571,government telangana india released schedule class examination exam scheduled april april,fake
5773,post lithuanian saying,fake
6881,cure coronavirus inhaling vodka fume,fake
1414,delhi high court declined interfere centre india decision operate chartered flight repatriate foreign national respective country covid pandemic travel flight indiafightscorona,true
6098,according image shared whatsapp official document lombardy region released governor illustrate phase measure soon enforced region,fake
3963,first case coronavirus alcal henares madrid,fake
5324,coronavirus infection linked lack vitamin,fake
7086,covid serious illness would wiped homeless population,fake
2965,samsung memory chip line korea covid boost demand twitter iqcpkcuxdd,true
4687,trump said people dying never died,fake
5196,mainstream medium used photo movie image italy coronavirus morgue,fake
4651,india asked restriction movement,fake
5166,second viral video lift shirt challenge police officer pointing another police officer kick behind road make arrest text overlaid video read italy lockdown mean,fake
5856,audio alleged pulmonologist regional university hospital malaga talk cure coronavirus,fake
2917,feature imagine model state imagine covid,true
103,coronavirus trading wallstreet temporarily halted early monday stock joined global rout crashing price mounting worry coronavirus covid,true
1332,maharashtra highest number covid case coronavirusindia,true
5553,cattle vaccine related covid current panic overblown medium,fake
6145,food drug administration authorized bodysphere minute covid testing,fake
2708,india record biggest spike covid positive case itvideo breaking twitter nlft zvyqx,true
2567,covid pandemic revived china trade creating business uncertainty prabhashrinkoo,true
7356,indian opposition leader rahul gandhi suggested school college reopen june even basis,fake
2213,leader exchanged view country covid situation step prevent spread virus development medicine vaccine japan coronavirus,true
4695,imposter hazmat suit going door door stockton california saying checking resident fever covid enter home physically attempt robbery,fake
2168,latest covid number development indiafirst coronaviruscrisis gauravcsawant live twitter julaqz,true
2253,third people died coronavirus nursing home resident worker according york time database least state death nursing home account half covid death,true
2998,mumbai bracing face cyclone nisarga nearly covid patient shifted facility bandra kurla complex covid centre nsci centre worli covid cyclonenisarga,true
7437,indian prime minister narendra modi said million covid patient treated free india,fake
4461,president donald trump next hour impose nationwide mandatory quarantine,fake
368,even covid sickened passenger costa luminosa docked france slow prevent infection despite previous serious outbreak parent company ship,true
6451,singapore defeated coronavirus without single death,fake
1819,rajasthan record case district death today taking number case death covid among dead jaipur rajasthan covid,true
2296,another analysis harvard chan school examines intermittent social distancing turned covid case reach certain prevalence population prevalence drop twitter rjdgzjhfku,true
1857,biggest study covid patient show third admitted hospital died half discharged rest still treated twitter waxi,true
307,number covid case maharashtra,true
2603,trump unproven drug ward covid prompt concern ridicule,true
4258,check coronavirus holding breath second,fake
5426,muslim licking plate spread coronavirus infect people virus,fake
442,chair empowered committee covid response india paul said changed circumstance spread disease called revised testing strategy marshalling resource contain pandemic coronavirusoutbreak,true
874,health care worker little offer covid patient soldier,true
5253,video police roughing civilian claimed police spain enforcing lockdown,fake
186,colombia said close border venezuela stop visitor europe asia coronavirus covid,true
420,till date covid positive case confirmed karnataka includes death,true
7373,qatar canceled india flight vande bharat mission bring back indian citizen qatar,fake
5252,video patient gasping breath shown patient india,fake
5720,facebook post state inps national public retirement fund provide italian student euro month check every month allowed school covid,fake
3565,novak djokovic test positive covid amid adria tour fallout,true
6257,video showing coronavirus patient telling ordeal shared claim india,fake
3762,spike covid case hyderabad relock city india today ashi indiatoday detail telangana twitter zixzez,true
2487,coronavirus update mumbai source total covid case number death case last hour,true
276,nishkamswat randeep lall charity give meal week homeless worry situation covid concerned regular hygiene home protect reporterdiary loveenatandon twitter,true
5412,people italy thrown money road outside saying money useless save death,fake
2624,coronavirusindia covid twitter jkufb,true
2328,former president barack obama described president donaldtrump handling covid pandemic chaotic conference call former member administration source said,true
1117,kurukshetra district remained covid free reported first case faridabad yamunanagar district also reported case haryana covid coronavirusoutbreak,true
1624,pastor help keep singapore migrant worker covid lockdown twitter ryjoc,true
4844,government spain going declare state emergency,fake
6977,according vegetarian affected coronavirus need animal body survive,fake
4009,bill gate working electronic chip implant human skin order locate control people,fake
39,covid spread easily sars similar coronaviruses cause cold like symptom appears highly transmissible since case mild disease widespread current testing number suggest,true
5366,video muslim trained sneeze purposefully spread coronavirus,fake
5359,hindu ganesha idol placed worshiped inside italian church,fake
4455,carrier virus surgery mask worn inside,fake
4907,russia unleashed lion ensure people stay inside home amid coronavirus outbreak,fake
5245,florida banned alcohol sale coronavirus,fake
4669,video showing police beating people china linked outbreak,fake
3100,undiagnosed covid could mean english toll higher thought twitter pftwpiucki,true
7319,chloroquine study published lancet cost million dollar,fake
927,harrowing devastation caused coronavirus humbling witness resilience nurse doctor bbcferguswalsh look inside intensive care unit london medic treat patient covid twitter,true
4727,donald trump said people dying never died,fake
1331,comprehensive testing holding controlling coronavirus india also received much awaited five lakh rapid covid testing china thursday government said,true
2188,death jaipur ajmer jodhpur chittorgarh kota reported rajasthan today taking toll covid related death rajasthan covid,true
867,breaking news navy captain removed command coronavirus stricken aircraft carrier tested positive covid friend,true
4921,netflix give away free account coronavirus quarantine,fake
2982,ninth covid case elite force year medical staff detected disease last month coronavirus,true
4044,image show senate minority leader chuck schumer criticizing president trump restriction foreign national traveling china,fake
119,bbcbreaking question regarding covid step people classed high risk example people serious heart condition virus caught would result likely death would recommend isola bbcyourquestions thisisnat twitter bizxe hrrw,true
858,india turn light minute tonight covid appeal ndtvnewsbeeps coronavirus covid pandemic twitter ehbmcrta,true
2169,person including several inmate tested covid positive mumbai arthur roda jail indiafirst breaking gauravcsawant saurabhv india today live twitter bezhkv,true
2680,coronaviruscrisis maharashtra minister amitv deshmukh tell state govt trying increase number dedicated covid hospital listen newstrack live twitter pxoduydqj,true
3665,prince william visit oxford covid vaccine developer twitter xeymcj,true
6136,criminal ireland dousing facemasks chemical offering people robbing,fake
6111,claim nancy pelosi said accept check trump might well vote,fake
767,iraq confirmed thousand covid case reported medic twitter nipebdxhqq,true
3375,covid case death registered june total number infection death toll india reached respectively coronavirus covid,true
4113,people right withdrawal work outbreak,fake
2445,criminal often take advantage world event covid think victim scam attempted fraud involving covid contact national center disaster fraud hotline phone email disaster twitter ojwsegxmym,true
6897,tiktok completely banned united state,fake
325,frightened life hold surgery postponed covid,true
3198,economy likely suffer worst covid damage oecd twitter ghitsb,true
161,uttarpradesh government ordered closure school college state however examination centre remain open itcard covid coronaviruspandemic twitter oiyykvr,true
5100,video showing police detaining covid patient india,fake
3491,delhi biggest covid hospital scanner recently treatment patient watch video know exactly going nayak prakash lnjp hospital report ankit tyagi newsmo twitter xlawu,true
2404,covid make comeback manipur,true
5347,sunlight kill coronavirus,fake
5845,photo woman lying hospital medical equipment attached body shared hundred time facebook twitter alongside claim woman doctor died beaten muslim trying administer novel coronavirus test,fake
6832,film star aamir khan distributed thousand rupee poor flour,fake
7324,right wing group india chief mohan bhagwat said coronavirus shaken belief religion,fake
3290,national public health institute early incorporated loss taste smell list covid symptom,true
2858,india china kept close communication cooperation since covid outbreak said china ambassador india weidong adding impressed india handling pandemic thus,true
751,covid hand washing effective,true
2463,sanofi covid vaccine available worldwide simultaneously twitter geahy,true
3399,zealand confirms case covid video,true
4388,portuguese soccer player cristiano ronaldo decided turn hotel free hospital,fake
6574,video viewed thousand time multiple post facebook twitter alongside claim show muslim politician india urging police officer open mosque order allow people pray nationwide covid lockdown,fake
299,failure covid increase death toll leading doctor,true
159,precautionary measure taken number covid case touched coronaviruspandemic,true
1373,coronaviruscrisis megahalaya direction came doctor covid fatality state buried death protest,true
802,fresh novel coronavirus case total number positive case covid assam stand,true
3153,lucknow eidgah mosque reopens today month covid safety measure place unlock twitter lynvtao,true
7343,covid bacteria causing death thrombosis,fake
5143,hospital allow parent visit child covid hospital,fake
1681,number people covid hospital pass,true
5753,video reveals manipulation behind covid pandemic order install dictatorship order,fake
605,opinion plea rural america urban covid refugee please stay home,true
4785,quarantine italy showed clean water venice fish dolphin,fake
6898,nurse jhalawar rajasthan india resigned covid infected jamaatis mistreating,fake
74,critical moment growing outbreak covid king county county said statement coronavirus,true
254,france recorded additional covid death march biggest increase country since outbreak bringing total death toll health minister olivier veran said coronavirus,true
3660,beach town raise alarm huge crowd ignore covid advice flock coast twitter hdtpll,true
6196,sars insertion mean virus fabricated laboratory according montagnier,fake
4102,holding breath determine covid drink water every minute,fake
2837,call extra green recovery covid,true
3005,number describe current risk virus risk healthcare service overwhelmed high rising level transmission virus general circulation number case transmission covid longer present twitter gthdnx,true
2885,tamil nadu report covid case highest single spike total cross twitter xwxg opxg,true
7314,italy found cure coronavirus illness,fake
2402,madhyapradesh forest department claim study help government decide future strategy policy towards forest cover combat disease like covid rahul noronha,true
2597,covid positive case detected bihar taking total number state case reported jehanabad begusarai aurangabad arwal buxar nawada district report amarnathtewary covid bihar,true
1684,covid lockdown ashokgehlot anildeshmukhncp eagendaaajtak itlivestream,true
5064,child virus going hospital alone people know people know home without time need,fake
5132,audio sodium chlorite cure coronavirus hour,fake
2488,covid case york coming people leaving home cuomo twitter sxcvypp,true
6295,autopsy report suggest jeffrey epstein likely died covid complication,fake
3414,share jumped open move expand purchase corporate bond contain damage covid pandemic eased liquidity concern,true
1548,ethnic minority dying covid higher rate analysis show,true
1225,coronaviruscrisis official figure also showed number people tested positive covid reached,true
691,covid blow softer india coronavirusindia stayhome watch newstrack rahulkanwal live twitter sdytshh,true
7310,shot contaminated coronaviruses,fake
982,wellcome trust urge firm donate covid research,true
2796,download free copy cosmopolitan india april issue page need read content including covid crusader special portrait series curation india best homegrown label clicking link twitter,true
4341,drinking water gargling warm water salt vinegar eliminates coronavirus,fake
6380,president trump announced biological wuhan covid virus created funded president barak hussein obama tune american dollar,fake
4937,president trump refers coronavirus hoax audio clip,fake
2423,week covid free reported case people entered state road wednesday covid,true
5237,vaccine protects covid,fake
7486,whatsapp message state covid mean certificate identification vaccination artificial intelligence intended disease carry international plan control reduction population,fake
1435,coronavirus pandemic turned people financial life upside answered pressing personal finance question economic fallout covid,true
2661,nine union health ministry held daily press briefing covid india recorded daily high case death click update coronavirus lockdown,true
6848,novel coronavirus attach disposable glove,fake
6834,truck carrying dead body patient passed away coronavirus,fake
5844,image vandana tiwari died attack muslim uttar pradesh went screen covid,fake
2981,joint secretary health ministry agarwal asserted reporting covid death,true
5408,people sneezing purposefully spread coronavirus hazrat nizamuddin mosque delhi,fake
1159,former madhya pradesh chief minister kamal nath sunday said parliament allowed function covid outbreak ensure state assembly could function madhyapradeshpolitics kamalnath covid,true
1102,seventeen local tested positive covid jammu kashmir taking total number case update,true
7440,text claim mayor stip north macedonia blagoj bochvarski accused citizen stip increased number people infected coronavirus town,fake
4704,every hundred year pandemia clean earth,fake
6923,ventura county public health director california county forcibly moving people infected covid home quarantine,fake
6223,post social medium claim people vaccinated last year test positive covid,fake
4989,claim coronavirus false pandemic,fake
4722,audio clip conversation claiming government india announce shutdown country coming wake coronavirus outbreak,fake
1289,metro major city marked centre covid list ndtvnewsbeeps coronavirus twitter lihoszcfbz,true
6118,news medium outlet majha basis internal memo south central railway reported special train announced take stranded migrant worker home,fake
5150,covid longer considered dangerous disease,fake
4414,italian tourist want leave ethiopia back italy coronavirus,fake
3210,india continues among three country highest number covid case added coronaupdatesinindia twitter guend qxdl,true
6836,people held street party dublin,fake
1536,dharavi report case tuesday including death deceased year mukund nagar covid hotspot report worthwords dharavi covid,true
3334,chile health minister quits government response covid,true
3677,covid recent tension nepal severely pineapple export north bengal opened access india today digital magazine device absolutely free access free copy click indiatodayinsight twitter uvdoi,true
4331,audio whatsapp doctor nurse hospitalized terrassa barcelona,fake
2582,sweden europe covid death caput last seven twitter mmxn,true
5436,muslim india licking utensil spread coronavirus,fake
3401,coronavirus australia update victoria record case covid politics live,true
3228,manchester united cancel friendly stoke test positive covid twitter,true
6780,member french navy aircraft carrier charles gaulle treated hydroxychloroquine,fake
1038,kargil north kanyakumari south porbandar west lohit northeast indian district least covid case april show district least covid case,true
4485,novel coronavirus eliminated drinking water gargling warm water mixed salt vinegar,fake
984,british prime minister boris johnson stable condition receiving oxygen support covid complication coronaviruscrisis covid world,true
4774,bitter gourd juice cure coronavirus,fake
4396,spread coronavirus planned rockefeller year,fake
695,coronavirusindia delhi mosque sealed covid death moved quarantine coronavirusoutbreak coronaviruspandemic twitter ipfehyaubg,true
1494,covid case india asymptomatic worrying scientist ndtv ndtvnewsbeeps coronavirusoutbreak twitter,true
2344,texas begin reopen covid quarantine political controversy health risk await,true
3938,school suspended catalonia,fake
3784,coronavirusinindia maharashtra report covid case state tally lakh full story indiafightscorona twitter svqtkmaoff,true
1162,nine private laboratory identified covid test,true
2119,special report shielding hospital covid britain left many weakest exposed twitter gtrcakaoi,true
324,coronavirus live news call covid enemy humanity italy death jump,true
4534,nancy pelosi tried secure taxpayer fund abortion coronavirus bill,fake
4197,galicia suspended class coronavirus,fake
3729,coronavirus spirited year woman returned home friday recovering covid record nine bengaluru click link latest covid india update,true
4987,vaccine covid finally ready,fake
2229,mexican government reporting hundred possibly thousand death coronavirus mexico city time many people died covid mexico city federal statistic show according time analysis,true
2489,fearing covid biggest university system make fall term virtual twitter umom,true
1070,wuhan celebrates liberation covid lockdown,true
955,tedros sends best wish johnson suffering covid twitter qkcv,true
1104,focus podcast likely india lockdown exit strategy nistula neutranino jayantsriram discus today episode daily covid update coronavirus lockdown,true
1156,department science technology invited proposal study appropriate intervention yoga meditation fighting covid similar kind virus covid yoga,true
6056,article claim anesthesiologist spouse working sistina hospital north macedonia risk patient sent message stay home,fake
3126,covid vaccine astrazeneca approached gilead possible merger,true
6116,german lawyer forcibly placed psychiatric hospital opposed preventive measure taken covid,fake
4157,donating blood novel coronavirus test,fake
6275,image news channel claim pakistan imran khan wife tested covid positive,fake
3099,consumer confidence touch decade covid economy twitter,true
3178,testing asymptomatic patient randomly test people come close contact covid positive person randeep guleria aiims director sardesairajdeep indepth live twitter klloql,true
5622,video police officer beaten people opposed offer prayer temple current lockdown implemented india handle covid spread,fake
7457,report drafted scientific panel appointed germany interior ministry declaring covid pandemic global false alarm leaked former employee,fake
231,york first death covid year manhattan woman emphysema live update,true
6305,incident lynching indian monk palghar amid lockdown communal,fake
6469,indiantelecommunication department offering free internet service lockdown work home,fake
4248,staff member spreading coronavirus purpose,fake
6519,seven child senegal dead coronavirus vaccine testing,fake
7384,french meterologists announced historically summer wave heat,fake
288,covid appeal private laboratory offer covid diagnosis free cost director general indian council medical research icmr balram bhargava,true
1892,year bhubaneswar close relative covid case found earlier test positive taking odisha total state government said wednesday city report case week taking total report yugayatri,true
1717,tata steel need government bailout covid halt production,true
4656,scientist found drinking bitter gourd juice cure coronavirus,fake
1604,imperial college london expected begin human trial covid vaccine june year loveenatandon coronavirus,true
3268,supremecourt took motu cognizance former union minister ashwani kumar letter highlighting news report undignified treatment disposal body covid patient,true
6839,switzerland turkey czech republic ukraine leave coronavirus project lithuania continues quarantine another week,fake
4107,whatsapp message suggests holding breath second drinking water every minute fight coronavirus,fake
2320,migrant stranded greece covid twitter tlwhwgjy,true
2325,thirty nine people bihar tested positive covid monday taking total number case state health department official said bihar covid,true
5592,study project wisconsin coronavirus case peak april,fake
3247,coronaviruscrisis patient died covid tamilnadu govt data govt fudging covid number akshayanath report itvideo twitter cmtip,true
5748,coronavirus epidemic hoax used cover network secretly installed croatia capital city zagreb,fake
2473,third tranche atmanirbharbharatabhiyan economic stimulus package response covid focus agriculture fishery dairy animal husbandry aspect food processing allied activity nirmalasitharaman prisjebaraj report,true
4365,astrologer predicted appearance coronavirus,fake
4424,train wagon carrying sign covid used carry spread disease,fake
4586,country affected coronavirus along latitude,fake
4426,video show problem faced chinese police catching coronavirus infected people,fake
2555,american pilot dedicated life serving people remote indonesian village died trying deliver covid test,true
994,twitter founder jack dorsey pledge billion towards covid relief fund twitter tzaekfdx,true
200,govt treat covid outbreak notified disaster coronavirus covid,true
4148,viral claim propagating unicef message coronavirus,fake
1620,lockdown stable crucial tool testing mishra covid empowered group coronaviruspandemic twitter uuhqqicmfa,true
169,coronavirus health official karnataka reported country first covid death late march sample year suspected covid patient passed away march night tested positive disease,true
4109,mayor buffalo told people evacuate coronavirus outbreak,fake
5146,illuminati controlled government coronavirus caused,fake
219,covid testing protocol explained india today nabila jamal itvideo twitter owtc,true
6382,existence canine coronavirus vaccine cast doubt statement human,fake
3205,death rate sari cent group munish moudgil chief covid room state said releasing data coronavirus death reporter,true
2181,priced covid testing designed group researcher west bengal received approval icmr westbengal covid icmr,true
6058,post donald trump said march people never died dying,fake
3016,masked robber pose challenge kolkata police amid covid crisis twitter iwyjjjwzys,true
2860,perspective ruder want make covid,true
5113,reported coronavirus last hour cabbage thus cabbage consumption restricted,fake
